sku_x,asin,sku_y
LG PC PN DE 5 PLT GH VS1VS2 18 S 9Ct,B0H2J1JM5F,LG PC PN DE 5 PLT GH VS1VS2 18 S 9Ct
LG PC PN DE 5 14P GH VS1VS2 18 S 10Ct,B0H2J6H89B,LG PC PN DE 5 14P GH VS1VS2 18 S 10Ct
LG PC PN DE 5 14K GH VS1VS2 18 S 10Ct,B0H2J9GTSF,LG PC PN DE 5 14K GH VS1VS2 18 S 10Ct
LG PC PN DE 5 14D GH VS1VS2 18 S 10Ct,B0H2JCZCQC,LG PC PN DE 5 14D GH VS1VS2 18 S 10Ct
LG PC PN DE 5 PLT GH VS1VS2 18 S 10Ct,B0H2J8JR8C,LG PC PN DE 5 PLT GH VS1VS2 18 S 10Ct
LG PC PN DE 0.5 14P GH VS1VS2 20 G,B0H2J7B71G,LG PC PN DE 0.5 14P GH VS1VS2 20 G
LG PC PN 0.5 14K GH VS1VS2 20 G,B0CJJY38V9,LG PC PN 0.5 14K GH VS1VS2 20 G
LG PC PN 0.5 14D GH VS1VS2 20 G,B0CJJWYFCJ,LG PC PN 0.5 14D GH VS1VS2 20 G
LG PC PN DE 0.5 PLT GH VS1VS2 20 G,B0H2J37D4S,LG PC PN DE 0.5 PLT GH VS1VS2 20 G
LG PC PN DE 0.75 14P GH VS1VS2 20 G,B0H2JKBPRB,LG PC PN DE 0.75 14P GH VS1VS2 20 G
LG PC PN DE 0.75 14K GH VS1VS2 20 G,B0H2J99TFC,LG PC PN DE 0.75 14K GH VS1VS2 20 G
LG PC PN DE 0.75 14D GH VS1VS2 20 G,B0H2J7W9JX,LG PC PN DE 0.75 14D GH VS1VS2 20 G
LG PC PN DE 0.75 PLT GH VS1VS2 20 G,B0H2J78ZCM,LG PC PN DE 0.75 PLT GH VS1VS2 20 G
LG PC PN DE 1 14P GH VS1VS2 20 G,B0H2J8SH6J,LG PC PN DE 1 14P GH VS1VS2 20 G
LG PC PN 1 14K GH VS1VS2 20 G,B0CJJX2JFH,LG PC PN 1 14K GH VS1VS2 20 G
LG PC PN 1 14D GH VS1VS2 20 G,B0CJK1MNG6,LG PC PN 1 14D GH VS1VS2 20 G
LG PC PN DE 1 PLT GH VS1VS2 20 G,B0H2J4M9JJ,LG PC PN DE 1 PLT GH VS1VS2 20 G
LG PC PN DE 1 SS GH VS1VS2 20 G,B0H2JDNM59,LG PC PN DE 1 SS GH VS1VS2 20 G
LG PC PN DE 1.5 14P GH VS1VS2 20 G,B0H2J7NFT1,LG PC PN DE 1.5 14P GH VS1VS2 20 G
LG PC PN DE 1.5 14K GH VS1VS2 20 G,B0H2J56KXQ,LG PC PN DE 1.5 14K GH VS1VS2 20 G
LG PC PN DE 1.5 14D GH VS1VS2 20 G,B0H2J5S6LZ,LG PC PN DE 1.5 14D GH VS1VS2 20 G
LG PC PN DE 1.5 PLT GH VS1VS2 20 G,B0H2JBZPS8,LG PC PN DE 1.5 PLT GH VS1VS2 20 G
LG PC PN DE 2 14P GH VS1VS2 20 G,B0H2J7551R,LG PC PN DE 2 14P GH VS1VS2 20 G
LG PC PN DE 2 14K GH VS1VS2 20 G,B0H2JDJ6BC,LG PC PN DE 2 14K GH VS1VS2 20 G
LG PC PN DE 2 14D GH VS1VS2 20 G,B0H2JBYT2G,LG PC PN DE 2 14D GH VS1VS2 20 G
LG PC PN DE 2 PLT GH VS1VS2 20 G,B0H2J7MHNK,LG PC PN DE 2 PLT GH VS1VS2 20 G
LG PC PN DE 3 14P GH VS1VS2 20 G,B0H2JGNBBL,LG PC PN DE 3 14P GH VS1VS2 20 G
LG PC PN DE 3 14K GH VS1VS2 20 G,B0H2J5D6YF,LG PC PN DE 3 14K GH VS1VS2 20 G
LG PC PN DE 3 14D GH VS1VS2 20 G,B0H2J9LQ7J,LG PC PN DE 3 14D GH VS1VS2 20 G
LG PC PN DE 3 PLT GH VS1VS2 20 G-BB1,B0H2J7NW4K,LG PC PN DE 3 PLT GH VS1VS2 20 G-BB1
LG PC PN DE 4 14P GH VS1VS2 20 G,B0H2J9MM1Z,LG PC PN DE 4 14P GH VS1VS2 20 G
LG PC PN DE 4 14K GH VS1VS2 20 G-BB1,B0H2J56VYM,LG PC PN DE 4 14K GH VS1VS2 20 G-BB1
LG PC PN DE 4 14D GH VS1VS2 20 G,B0H2J61MX9,LG PC PN DE 4 14D GH VS1VS2 20 G
LG PC PN DE 4 PLT GH VS1VS2 20 G,B0H2J6LL9J,LG PC PN DE 4 PLT GH VS1VS2 20 G
LG PC PN 5 14P GH VS1VS2 20 G,B0CJJXQ13L,LG PC PN 5 14P GH VS1VS2 20 G
LG PC PN DE 5 14K GH VS1VS2 20 G,B0H2JGMH54,LG PC PN DE 5 14K GH VS1VS2 20 G
LG PC PN DE 5 14D GH VS1VS2 20 G,B0H2J5B29W,LG PC PN DE 5 14D GH VS1VS2 20 G
LG PC PN DE 5 PLT GH VS1VS2 20 G,B0H2HZYTD3,LG PC PN DE 5 PLT GH VS1VS2 20 G
LG PC PN DE 5 14P GH VS1VS2 20 G 6Ct,B0H2J59PDG,LG PC PN DE 5 14P GH VS1VS2 20 G 6Ct
LG PC PN DE 5 14K GH VS1VS2 20 G 6Ct,B0H2J8JXNG,LG PC PN DE 5 14K GH VS1VS2 20 G 6Ct
LG PC PN DE 5 14D GH VS1VS2 20 G 6Ct,B0H2J7SLVB,LG PC PN DE 5 14D GH VS1VS2 20 G 6Ct
LG PC PN DE 5 PLT GH VS1VS2 20 G 6Ct,B0H2JBSB9Q,LG PC PN DE 5 PLT GH VS1VS2 20 G 6Ct
LG PC PN DE 5 14P GH VS1VS2 20 G 7Ct,B0H2J87BZN,LG PC PN DE 5 14P GH VS1VS2 20 G 7Ct
LG PC PN DE 5 14K GH VS1VS2 20 G 7Ct,B0H2J3N8N6,LG PC PN DE 5 14K GH VS1VS2 20 G 7Ct
LG PC PN DE 5 14D GH VS1VS2 20 G 7Ct,B0H2J4RFM5,LG PC PN DE 5 14D GH VS1VS2 20 G 7Ct
LG PC PN DE 5 PLT GH VS1VS2 20 G 7Ct,B0H2J212S4,LG PC PN DE 5 PLT GH VS1VS2 20 G 7Ct
LG PC PN DE 5 14P GH VS1VS2 20 G 8Ct,B0H2J6967M,LG PC PN DE 5 14P GH VS1VS2 20 G 8Ct
LG PC PN DE 5 14K GH VS1VS2 20 G 8Ct,B0H2J6SYV5,LG PC PN DE 5 14K GH VS1VS2 20 G 8Ct
LG PC PN DE 5 14D GH VS1VS2 20 G 8Ct,B0H2J1SN99,LG PC PN DE 5 14D GH VS1VS2 20 G 8Ct
LG PC PN DE 5 PLT GH VS1VS2 20 G 8Ct,B0H2J6967K,LG PC PN DE 5 PLT GH VS1VS2 20 G 8Ct
LG PC PN DE 5 14P GH VS1VS2 20 G 9Ct,B0H2JB5DW5,LG PC PN DE 5 14P GH VS1VS2 20 G 9Ct
LG PC PN DE 5 14K GH VS1VS2 20 G 9Ct,B0H2J6ZJ6X,LG PC PN DE 5 14K GH VS1VS2 20 G 9Ct
LG PC PN DE 5 14D GH VS1VS2 20 G 9Ct,B0H2JDKPK1,LG PC PN DE 5 14D GH VS1VS2 20 G 9Ct
LG PC PN DE 5 PLT GH VS1VS2 20 G 9Ct,B0H2J9DT1B,LG PC PN DE 5 PLT GH VS1VS2 20 G 9Ct
LG PC PN DE 5 14P GH VS1VS2 20 G 10Ct,B0H2J1P74Y,LG PC PN DE 5 14P GH VS1VS2 20 G 10Ct
LG PC PN DE 5 14K GH VS1VS2 20 G 10Ct,B0H2JDNM5G,LG PC PN DE 5 14K GH VS1VS2 20 G 10Ct
LG PC PN DE 5 14D GH VS1VS2 20 G 10Ct,B0H2J5491J,LG PC PN DE 5 14D GH VS1VS2 20 G 10Ct
LG PC PN DE 5 PLT GH VS1VS2 20 G 10Ct,B0H2J5K36Y,LG PC PN DE 5 PLT GH VS1VS2 20 G 10Ct
LG PC PN DE 0.5 14P GH VS1VS2 20 S,B0H2J3H2YS,LG PC PN DE 0.5 14P GH VS1VS2 20 S
LG PC PN DE 0.5 14K GH VS1VS2 20 S,B0H2J3QMDJ,LG PC PN DE 0.5 14K GH VS1VS2 20 S
LG PC PN 0.5 14D GH VS1VS2 20 S,B0CJJXXLRH,LG PC PN 0.5 14D GH VS1VS2 20 S
LG PC PN DE 0.5 PLT GH VS1VS2 20 S,B0H2J87TVR,LG PC PN DE 0.5 PLT GH VS1VS2 20 S
LG PC PN DE 0.75 14P GH VS1VS2 20 S,B0H2J8P1LG,LG PC PN DE 0.75 14P GH VS1VS2 20 S
LG PC PN DE 0.75 14K GH VS1VS2 20 S,B0H2JBZPSF,LG PC PN DE 0.75 14K GH VS1VS2 20 S
LG PC PN DE 0.75 14D GH VS1VS2 20 S,B0H2J1S9DK,LG PC PN DE 0.75 14D GH VS1VS2 20 S
LG PC PN DE 0.75 PLT GH VS1VS2 20 S,B0H2JDGR2P,LG PC PN DE 0.75 PLT GH VS1VS2 20 S
LG PC PN DE 1 14P GH VS1VS2 20 S,B0H2JJLX9G,LG PC PN DE 1 14P GH VS1VS2 20 S
LG PC PN DE 1 14K GH VS1VS2 20 S,B0H2J2KYYQ,LG PC PN DE 1 14K GH VS1VS2 20 S
LG PC PN DE 1 14D GH VS1VS2 20 S,B0H2JDV5Y9,LG PC PN DE 1 14D GH VS1VS2 20 S
LG PC PN DE 1 PLT GH VS1VS2 20 S,B0H2J71GYN,LG PC PN DE 1 PLT GH VS1VS2 20 S
LG PC PN DE 1 SS GH VS1VS2 20 S,B0H2J2QQV3,LG PC PN DE 1 SS GH VS1VS2 20 S
LG PC PN DE 1.5 14P GH VS1VS2 20 S,B0H2J6SYTQ,LG PC PN DE 1.5 14P GH VS1VS2 20 S
LG PC PN DE 1.5 14K GH VS1VS2 20 S,B0H2J9DHX1,LG PC PN DE 1.5 14K GH VS1VS2 20 S
LG PC PN DE 1.5 14D GH VS1VS2 20 S,B0H2JC1PPS,LG PC PN DE 1.5 14D GH VS1VS2 20 S
LG PC PN DE 1.5 PLT GH VS1VS2 20 S,B0H2J4VNJF,LG PC PN DE 1.5 PLT GH VS1VS2 20 S
LG PC PN DE 2 14P GH VS1VS2 20 S,B0H2J8P1LJ,LG PC PN DE 2 14P GH VS1VS2 20 S
LG PC PN 2 14K GH VS1VS2 20 S,B0CJJY4ZYN,LG PC PN 2 14K GH VS1VS2 20 S
LG PC PN DE 2 14D GH VS1VS2 20 S,B0H2JF3CTS,LG PC PN DE 2 14D GH VS1VS2 20 S
LG PC PN DE 2 PLT GH VS1VS2 20 S,B0H2JFSHSS,LG PC PN DE 2 PLT GH VS1VS2 20 S
LG PC PN DE 3 14P GH VS1VS2 20 S-BB1,B0H2JF6BDM,LG PC PN DE 3 14P GH VS1VS2 20 S-BB1
LG PC PN DE 3 14K GH VS1VS2 20 S,B0H2J89ZYF,LG PC PN DE 3 14K GH VS1VS2 20 S
LG PC PN DE 3 14D GH VS1VS2 20 S-BB1,B0H2J1KNZD,LG PC PN DE 3 14D GH VS1VS2 20 S-BB1
LG PC PN DE 3 PLT GH VS1VS2 20 S,B0H2J8F3YX,LG PC PN DE 3 PLT GH VS1VS2 20 S
LG PC PN DE 4 14P GH VS1VS2 20 S,B0H2J6X615,LG PC PN DE 4 14P GH VS1VS2 20 S
LG PC PN DE 4 14K GH VS1VS2 20 S,B0H2J3PQHC,LG PC PN DE 4 14K GH VS1VS2 20 S
LG PC PN DE 4 14D GH VS1VS2 20 S-BB1,B0H2J7551Q,LG PC PN DE 4 14D GH VS1VS2 20 S-BB1
LG PC PN DE 4 PLT GH VS1VS2 20 S,B0H2J7P3HF,LG PC PN DE 4 PLT GH VS1VS2 20 S
LG PC PN DE 5 14P GH VS1VS2 20 S,B0H2J768G9,LG PC PN DE 5 14P GH VS1VS2 20 S
LG PC PN DE 5 14K GH VS1VS2 20 S,B0H2J3SQRK,LG PC PN DE 5 14K GH VS1VS2 20 S
LG PC PN DE 5 14D GH VS1VS2 20 S,B0H2J3T9ZK,LG PC PN DE 5 14D GH VS1VS2 20 S
LG PC PN DE 5 PLT GH VS1VS2 20 S,B0H2J4BF7D,LG PC PN DE 5 PLT GH VS1VS2 20 S
LG PC PN DE 5 14P GH VS1VS2 20 S 6Ct,B0H2JGCDXJ,LG PC PN DE 5 14P GH VS1VS2 20 S 6Ct
LG PC PN DE 5 14K GH VS1VS2 20 S 6Ct,B0H2J71B8C,LG PC PN DE 5 14K GH VS1VS2 20 S 6Ct
LG PC PN DE 5 14D GH VS1VS2 20 S 6Ct,B0H2J4PQNN,LG PC PN DE 5 14D GH VS1VS2 20 S 6Ct
LG PC PN DE 5 PLT GH VS1VS2 20 S 6Ct,B0H2JHCYBY,LG PC PN DE 5 PLT GH VS1VS2 20 S 6Ct
LG PC PN DE 5 14P GH VS1VS2 20 S 7Ct,B0H2J81SHD,LG PC PN DE 5 14P GH VS1VS2 20 S 7Ct
LG PC PN DE 5 14K GH VS1VS2 20 S 7Ct,B0H2J92G3Q,LG PC PN DE 5 14K GH VS1VS2 20 S 7Ct
LG PC PN DE 5 14D GH VS1VS2 20 S 7Ct,B0H2J863NZ,LG PC PN DE 5 14D GH VS1VS2 20 S 7Ct
LG PC PN DE 5 PLT GH VS1VS2 20 S 7Ct,B0H2J7SV97,LG PC PN DE 5 PLT GH VS1VS2 20 S 7Ct
LG PC PN DE 5 14P GH VS1VS2 20 S 8Ct,B0H2J85Q4R,LG PC PN DE 5 14P GH VS1VS2 20 S 8Ct
LG PC PN DE 5 14K GH VS1VS2 20 S 8Ct,B0H2JD678M,LG PC PN DE 5 14K GH VS1VS2 20 S 8Ct
LG PC PN DE 5 14D GH VS1VS2 20 S 8Ct,B0H2J3PM9Z,LG PC PN DE 5 14D GH VS1VS2 20 S 8Ct
LG PC PN DE 5 PLT GH VS1VS2 20 S 8Ct,B0H2J5N73N,LG PC PN DE 5 PLT GH VS1VS2 20 S 8Ct
LG PC PN DE 5 14P GH VS1VS2 20 S 9Ct,B0H2J71B81,LG PC PN DE 5 14P GH VS1VS2 20 S 9Ct
LG PC PN DE 5 14K GH VS1VS2 20 S 9Ct,B0H2J9XQSM,LG PC PN DE 5 14K GH VS1VS2 20 S 9Ct
LG PC PN DE 5 14D GH VS1VS2 20 S 9Ct,B0H2J83R7T,LG PC PN DE 5 14D GH VS1VS2 20 S 9Ct
LG PC PN DE 5 PLT GH VS1VS2 20 S 9Ct,B0H2JDJ933,LG PC PN DE 5 PLT GH VS1VS2 20 S 9Ct
LG PC PN DE 5 14P GH VS1VS2 20 S 10Ct,B0H2JCN2XV,LG PC PN DE 5 14P GH VS1VS2 20 S 10Ct
LG PC PN DE 5 14K GH VS1VS2 20 S 10Ct,B0H2J3QTPV,LG PC PN DE 5 14K GH VS1VS2 20 S 10Ct
LG PC PN DE 5 14D GH VS1VS2 20 S 10Ct,B0H2JJMBZ7,LG PC PN DE 5 14D GH VS1VS2 20 S 10Ct
LG PC PN DE 5 PLT GH VS1VS2 20 S 10Ct,B0H2J79TK5,LG PC PN DE 5 PLT GH VS1VS2 20 S 10Ct
